answer,question,is_labeled,question_similaries
"Có nhiều phương pháp phẫu thuật chữa béo phì như: đặt vòng thắt dạ dày qua nội soi, phẫu thuật nối cắt dạ dày qua nội soi… Tất cả đều dựa trên nguyên lý đơn giản là giảm hấp thu thức ăn vào cơ thể. Tuy nhiên, mỗi phương pháp có những ưu, nhược điểm riêng. Với phương pháp tạo hình dạ dày hình ống đứng qua nội soi thì ưu điểm của phương pháp này giúp bệnh nhân ngoài việc giảm cân còn giải quyết được các bệnh chuyển hoá đi kèm như: đái tháo đường, cao huyết áp, rối loạn mỡ máu, vô sinh, rối loạn kinh nguyệt, trầm cảm…Bệnh viện Hữu nghị Việt Đức là cơ sở đầu tiên trong cả nước thực hiện phẫu thuật điều trị béo phì từ năm 2005. Với kinh nghiệm từ hàng trăm trường hợp phẫu thuật béo phì thành công, các bác sĩ khuyến cáo: Béo phì – Căn bệnh thời hiện đại ngày càng gia tăng với tốc độ báo động, là mối đe dọa làm giảm tuổi thọ và ảnh hưởng đến chất lượng cuộc sống, kéo theo một loạt hệ lụy về các bệnh khác như: cao huyết áp, nhồi máu cơ tim, suy tim, đái tháo đường, ung thư… Với những bệnh nhân trẻ tuổi cần điều trị sớm để không ảnh hưởng đến chế độ vận động, sức khỏe sinh sản sau này.",Ở bệnh viện có nhiều phương pháp chữa béo phì không ạ? Phương pháp tạo hình dạ dày hình ống đứng qua nội soi có nhiều ưu điểm không ạ?,0,
"– Với bất kỳ thay đổi nào về tình trạng chung của cơ thể, người bệnh/ người nhà người bệnh cần phải liên hệ với bệnh viện và làm theo hướng dẫn của nhân viên y tế.– Đơn thuốc có thể được chỉ định sau khi bác sỹ thăm khám (nếu cần).– Người bệnh sử dụng thuốc theo đúng hướng dẫn của bác sỹ.– Các xét nghiệm như: xét nghiệm máu, chụp XQ, siêu âm bụng, nội soi, điện tim, chụp cộng hưởng từ, cắt lớp vi tính, siêu âm tim (nếu cần) sẽ được hoàn thành trước khi thực hiện ca phẫu thuật của người bệnh. ",Người bệnh cần lưu ý gì trước ngày phẫu thuật?,0,
"– Không hút thuốc: Người bệnh có thể gặp các vấn đề về hô hấp trong hoặc sau khi phẫu thuật, và nguy cơ cao mắc bệnh viêm phổi. Hút thuốc lá làm giảm lưu thông máu, làm chậm quá trình lành vết mổ, và vết mổ sẽ dễ bị nhiễm khuẩn hơn.– Không uống rượu, bia, cafe: Uống rượu, bia sẽ ảnh hưởng đến quá trình hồi phục và làm loãng máu của người bệnh. Nó sẽ gây ra chảy máu hoặc nhiễm khuẩn vết mổ cũng như ảnh hưởng đến hệ miễn dịch của người bệnh.– Không nên mang trang sức quý giá, đắt tiền đến bệnh viện (chỉ mang những gì cần thiết cho việc thanh toán và các chi phí phát sinh khác).– Không nên mang theo chăn, màn, phích nước, vali, túi lớn…– Một số loại thuốc đặc biệt (khi bác sỹ kê) như thuốc chống đông… người bệnh phải sử dụng theo hướng dẫn của bác sĩ điều trị.– Nếu người bệnh sốt/cảm lạnh, đến kỳ kinh nguyệt hoặc có bất kỳ dấu hiệu bất thường nào khác trước phẫu thuật 1 ngày hay người bệnh/người nhà người bệnh muốn hoãn mổ, hãy gọi điện để thông báo với khoa phòng xin tư vấn và trợ giúp (nếu cần).– Việc không cạo lông vùng phẫu thuật trước 7 ngày phẫu thuật là quan trọng bởi vì nó có thể tạo ra vi khuẩn.",Những việc người bệnh không nên làm trước khi phẫu thuật là gì ạ?,0,
" – Nên ăn uống đủ chất: Người bệnh cần dinh dưỡng tốt, đầy đủ để cơ thể có thể chống lại nhiễm trùng và hồi phục tốt sau mổ (theo hướng dẫn của nhân viên y tế).– Nên suy nghĩ tích cực.– Nên ngủ sớm, ngủ đủ giấc (tối thiểu 8h/ngày).– Nên tập các động tác lý liệu pháp hô hấp như: Tập hít sâu, thở chậm, ho khạc đờm.– Nên nằm trên giường tập các động tác co, gấp, duỗi các chi.– Nên mang các giấy tờ tùy thân của người bệnh như: Thẻ bảo hiểm y tế, giấy chuyển tuyến, chứng minh thư (tất cả còn hạn)/ hoặc thẻ học sinh có dán ảnh có dấu giáp lai của địa phương với trẻ em trên 6 tuổi. Trẻ em dưới 6 tuổi thì bố/mẹ bệnh nhân phải xuất trình chứng minh thư nhân dân. Tất cả giấy tờ cần được trình trong vòng 24h sau khi nhập viện.– Nên liên hệ với công ty bảo hiểm của người bệnh để xem có những khoản chi phí nào mà bảo hiểm sẽ chi trả theo chính sách của họ và họ cần những thủ tục gì khi người bệnh thanh toán.– Nên đi cùng với người thân/ người giám hộ để hỗ trợ người bệnh khi cần (đảm bảo an toàn cũng như lý do pháp lý). ",Tôi muốn hỏi trước khi phẫu thuật người bệnh nên làm những việc gì?,0,
"Viêm đại tràng mãn tính được chia thành 2 nhóm bệnh theo nguyên nhân, gồm:Viêm đại tràng mãn tính có nguyên nhân:– Do lao, crohn viêm đại tràng chảy máu,…– Do nhiễm ký sinh trùng, nhiễm trùng, nhiễm độc, nhiễm nấm gây viêm đại tràng cấp tính nhưng không được điều trị dứt điểm mà diễn tiến thành.Viêm đại tràng mãn tính không rõ nguyên do:Viêm đại tràng mãn tính không rõ nguyên do thường gặp ở bệnh nhân viêm đại tràng mãn tính không đặc hiệu.Theo đó, các nhóm nguyên nhân thường gặp ở bệnh nhân viêm đại tràng mãn tính được cho là ảnh hưởng gây bệnh gồm:– Nhiễm ký sinh trùng: Giun tóc, giun kim, giun đũa,…– Nhiễm vi trùng gây bệnh đường ruột: Salmonella, Shigella,…– Chế độ ăn uống không điều độ, ăn nhiều thức ăn gây kích thích, tổn thương dạ dày, niêm mạc đại tràng.– Táo bón kéo dài. ",Viêm đại tràng mãn tính nguyên nhân do đâu ạ?,0,
,"Tôi hay bị chướng bụng, đầy hơi, thỉnh thoảng hay bị nôn/nôn khan, xin bác sĩ tư vấn giúp tôi ạ?",0,
,Xin bác sĩ tư vấn giúp tôi các triệu chứng của bệnh lý viêm dạ dày cấp?,0,
"Triệu chứng:– Khó thở: Khó thở khi gắng sức, tăng lên khi nằm, có cơn khó thở kịch phát về đêm.– Cơn hen tim và phù phổi cấp: Có thể xuất hiện sau gắng sức, bệnh nhân khó thở dữ dội, có thể nghe thấy tiếng rít ở phổi, rale ẩm hai trường phổi, có thể ho ra bọt hồng. Cần xử trí cấp cứu ngay.– Ho ra máu: do tăng áp lực nhĩ trái làm giãn tĩnh mạch nhỏ của phế quản.– Khàn tiếng: do nhĩ trái giãn to chèn vào dây thanh quản quặt ngược trái.– Khó nuốt: nhĩ trái to đè vào thực quản.– Biến cố tắc mạch: tai biến mạch não, tắc mạch chi… do nhĩ trái giãn, dễ hình thành huyết khối trong buồng tim. Nếu kèm theo rung nhĩ thì nguy cơ tắc mạch cao hơn.– Khám tim có thể nghe thấy tiếng rung tâm trương ở mỏm.– Tim có thể loạn nhịp hoàn toàn do rung nhĩ.– Biểu hiện suy tim phải: Gan to, phù chân, tĩnh mạch cổ nổi. ","Thưa bác sĩ, triệu chứng của bệnh hẹp van hai lá là gì ạ?",0,
"Hẹp van 2 lá là bệnh lý tiến triển liên tục kéo dài cả đời, thường có một thời gian ổn định lúc đầu rồi tiến triển nặng nề về sau. Khi đã xuất hiện tăng áp lực động mạch phổi nặng, thời gian sống trung bình giảm xuống ít hơn 3 năm. Tỷ lệ tử vong ở nhóm bệnh nhân hẹp van hai lá không điều trị do ứ huyết phối tiến triển là 60-70%, do tắc mạch đại tuần hoàn là 20-30%, do nhồi máu phổi là 10%, do nhiễm trùng là 1-5%.","Thưa bác sĩ, bệnh hẹp van hai lá sẽ tiến triển ra sao ạ?",0,
"Nguyên nhân:– Di chứng thấp tim.– Tổn thương xơ vữa.– Bẩm sinh:+ Van 2 lá hình dù: Do chỉ có một cột cơ với các dây chằng cho cả hai lá van, dẫn đến hở hoặc hẹp van.+ Vòng thắt trên van hai lá.– Bệnh hệ thống có thể gây xơ hóa van hai lá: U carcinoid; Lupus ban đỏ hệ thống; Viêm khớp dạng thấp; Lắng đọng mucopolysaccharide; Viêm nội tâm mạc nhiễm khuẩn đã liền sẹo.","Thưa bác sĩ, nguyên nhân của bệnh hẹp van hai lá là gì ạ?",0,
"Điều trị u sọ hầu là sự phối hợp của nhiều chuyên khoa cả trước và sau mổ: Bác sĩ phẫu thuật thần kinh, bác sĩ nội tiết, bác sĩ ung bướu,…– Phẫu thuật: Nội soi qua mũi xoang hoặc mổ mở tùy vị trí, kích thước u, để lấy tối đa khối u có thể. Phần lớn các trường hợp nếu khối u lớn, xâm lấn, dính chắc, các tổ chức, cơ quan quan trọng của não như cuống tuyến yên, động mạch cảnh, dây thần kinh thị; Phẫu thuật viên thường không cố gắng lấy hết u; Có mẫu bệnh phẩm u để làm chẩn đoán xác định bản chất u; Giải phóng chèn ép khi khối u chèn ép dây thần kinh thị giác.–  Xạ trị : Có thể xạ trị gamma knife bổ trợ sau phẫu thuật nếu phẫu thuật để lại 1 phần u.– Thuốc: Điều trị các rối loạn, suy giảm nội tiết.",Có các phương pháp điều trị u sọ hầu như thế nào?,0,
"Triệu chứng biểu hiện phụ thuộc vào vị trí, kích thước khối u và tuổi của người bệnh. Ngoài ra rối loạn nội tiết cũng là nguyên nhân thường gặp dẫn đến các biểu hiện:– Đau đầu– Mệt mỏi– Thay đổi tính cách, tâm trạng.– Nôn, buồn nôn.– Rối loạn chức năng thị giác: Nhìn mờ, thậm chí mù nếu khối u chèn ép dây thần kinh thị giác, giao thoa thị giác, …– Suy tuyến yên: Rối loạn chức năng tuyến yên.– Rối loạn hormone ADH: đái nhiều, khát nước.– Rối loạn hormone ACTH: mệt mỏi, hạ huyết áp, rối loạn điện giải.– Rối loạn hormone GH ở trẻ em: chậm phát triển, dậy thì muộn; người lớn: mệt mỏi, giảm sức cơ.– Suy giáp do rối loạn TSH: chán ăn, sụt cân, mệt mỏi, …– Rối loạn Prolactin ở phụ nữ: rối loạn kinh nguyệt, hoặc có thể có tăng tiết sữa.– Rối loạn hormone sinh dục, ở nam giới gây yếu sinh lý, giảm chức năng tình dục, gây vô sinh ở nữ.– Nếu khối u chèn ép vào vùng dưới đồi: gây béo phì, tình trạng mệt mỏi, suy nhược, đái tháo nhạt,…",Xin hỏi triệu chứng của bệnh u sọ hầu là gì ạ?,0,
"Trong vòng 6 đến 8 tuần sau phẫu thuật, không nên mang vác hay dùng sức kéo bất kỳ một vật nặng nào có trọng lượng hơn 50 kg. Điều đó sẽ giúp bệnh nhân tránh gây áp lực lên vết mổ đang liền sẹo và đảm bảo cho xương ức có đủ thời gian để hồi phục. Chỉ nên làm những công việc nhẹ trong nhà. Những người được phẫu thuật tim trong một vài tuần đầu sau phẫu thuật thường dễ mệt mỏi, do đó không nên làm công việc gì gây mệt mỏi kéo dài. Sau 3 đến 6 tuần, sức khỏe của bạn sẽ khá hơn và khi đó, bạn sẽ vận động dễ dàng và nhanh nhẹn hơn.",Những điều cần tránh sau thay van tim là gì?,0,
– Mục tiêu của phẫu thuật động kinh: Hết cơn động kinh và chất lượng cuộc sống trở về bình thường; Với trẻ em giúp bình thường hóa phát triển hệ thần kinh.– Tiêu chuẩn của phẫu thuật động kinh gồm 2 tiêu chuẩn đồng thời: Cắt bỏ hoàn toàn hoặc làm mất kết nối vùng sinh động kinh và sau mổ không xuất hiệnsuy giảm chức năng thần kinh mới.,"Thưa bác sĩ, mục tiêu của phẫu thuật động kinh là gì và có những tiêu chuẩn nào cho một cuộc phẫu thuật động kinh?",0,
"Phẫu thuật điều trị động kinh đã được tiến hành từ nhiều năm nay tại Bệnh viện Hữu nghị Việt Đức. Cùng với hệ thống trang thiết bị hiện đại như: kính vi phẫu, định vị thần kinh trong mổ, lập bản đồ 3D vỏ não đối chiếu trong mổ cũng như đội ngũ bác sỹ chuyên sâu về phẫu thuật động kinh, luôn cập nhật các phương pháp hiện đại nhất của thế giới, và được đào tạo liên tục từ các chuyên gia nước ngoài như từ hội động kinh Pháp, hội động kinh Châu Á, chúng tôi luôn nỗ lực hết mình nhằm mang lại chất lượng điều trị tối ưu với bệnh nhân động kinh.​Từ trước đây quan điểm trong xã hội vẫn coi một người bệnh bị động kinh là không thể chữa khỏi, bị xa lánh hoặc không có một vị trí công việc như người bình thường khác. Chúng tôi luôn muốn thay đổi quan điểm này bởi bệnh lý động kinh hoàn toàn kiểm soát được bằng rất nhiều biện pháp điều trị khác nhau, trong đó phẫu thuật như một lối mở ngày càng chắc chắn cho bệnh nhân động kinh.","Thưa bác sĩ, tại Bệnh viện Việt Đức đã triển khai phẫu thuật động kinh như thế nào ạ?",0,
"– Thuốc chống động kinh là biện pháp điều trị đầu tiên và là điều trị nền tảng.– Phẫu thuật nhằm cắt cơn động kinh hoặc giảm số cơn động kinh.– Đặt điện cực kích thích dây X.– Các biện pháp hỗ trợ khác như: Thay đổi chế độ ăn, tâm lý liệu pháp.","Thưa bác sĩ, có những biện pháp nào điều trị bệnh lý động kinh?",0,
"Các biểu hiện lâm sàng của ung thư túi mật thường không đặc hiệu, đây chính là lý do khiến bệnh nhân thường đến muộn.Ở giai đoạn sớm (khi ung thư còn khu trú ở niêm mạc) được xem là giai đoạn không có triệu chứng, bệnh nhân thường chỉ đau nhẹ ở dưới sườn phải và siêu âm có sỏi túi mật. Giai đoạn sau khi khối u đã lớn, xâm lấn, các triệu chứng lâm sàng phong phú tùy theo tình trạng xâm lấn này, ngoài các triệu chứng như: đau nhiều dưới sườn phải, gầy sút, chán ăn, nôn hoặc buồn nôn, phần nhiều bệnh nhân có dấu hiệu tắc mật, vàng da, nước tiểu sẫm màu do sự xâm lấn trực tiếp vào đường mật chính hoặc do sự chèn ép vào ống mật chủ bởi khối hay các mạch quanh ống mật chủ, cũng có khi do sự di chuyển vào lòng ống của tổ chức ung thư. ",Ung thư túi mật có biểu hiện như thế nào ạ?,0,
"“Bệnh nhân sẽ sống thêm được bao nhiêu lâu?” là câu hỏi của bệnh nhân và gia đình bệnh nhân u não thường đặt ra với thầy thuốc. Trả lời cho câu hỏi này, PGS.TS Đồng Văn Hệ – Phó Giám đốc Bệnh viện Hữu nghị Việt Đức, Giám đốc Trung tâm Phẫu thuật Thần kinh cho biết: Câu trả lời không giống nhau cho tất cả mọi người. Một số bệnh nhân u não có thể sống khỏe mạnh bình thường và tuổi thọ không giảm đáng kể sau khi được điều trị u não. Một số khác có thể sống thêm vài tháng hoặc vài năm. Một số u não phát triển rất nhanh, khối u lớn nhanh sau vài tuần hoặc vài tháng. Một số trường hợp khác phát triển rất chậm, mỗi năm tăng thêm 2 –3mm. U não có thể tái phát sau điều trị, nhưng cũng có loại không tái phát hoặc u không phát triển to hơn sau nhiều năm. Chính vì vậy, chúng ta phải được khám, tư vấn và theo dõi u não liên tục, thường xuyên. Thời gian sống thêm sau khi điều trị u não phụ thuộc vào rất nhiều yếu tố như: loại u, tuổi bệnh nhân, vị trí, kích thước, phương pháp điều trị… Tại Mỹ, khoảng 20% bệnh nhân u não ác tính sống thêm trên 5 năm sau khi điều trị. Ở trẻ em, tỷ lệ u não ác tính sống thêm trên 5 năm cao tới 72 %. Trẻ em dưới 3 tuổi có thời gian sống thêm sau điều trị ngắn hơn so với trẻ em từ 3-16 tuổi. Trong số các loại u não, u tế bào thần kinh đệm đa hình thái ác tính (glioblastoma multiforme) là loại có thời gian sống thêm sau mổ ngắn nhất. Đối với u màng não, người bệnh có thể được chữa khỏi hoàn toàn nếu khối u lành tính, phẫu thuật sớm và cắt bỏ hoàn toàn. Người bệnh có thể sống bình thường.",Bệnh nhân bị u não có thể sống được bao lâu ạ?,0,
"Trong giai đoạn đầu của thai nhi nam, tinh hoàn nằm trong ổ bụng. Sau đó, tinh hoàn di chuyển dần xuống bìu và nằm ở đó cho tới lúc trẻ được sinh ra. Tinh hoàn ẩn là những tinh hoàn dừng lại trên đường di chuyển của tinh hoàn từ bụng xuống bìu trong thời kỳ bào thai. Tinh hoàn ẩn là khuyết tật về sự phát triển thường gặp nhất ở nam giới. Các thể lâm sàng có thể gặp là tinh hoàn nằm trong ổ bụng, ở lỗ bẹn sâu, trong ống bẹn và ngoài lỗ bẹn nông. Trẻ có tinh hoàn ẩn, nếu không được điều trị có thể gặp các nguy cơ như: ung thư hóa tinh hoàn, vô sinh, thoát vị bẹn, xoắn tinh hoàn hay chấn thương tinh hoàn hoặc tổn thương về tâm sinh lý do không có hay chỉ có một tinh hoàn dưới bìu. Sự di chuyển từ bụng xuống bìu của tinh hoàn chịu sự tác động của rất nhiều có chế. Nếu những cơ chế này bị ảnh hưởng sẽ làm tinh hoàn không xuống được bìu và gây ẩn tinh hoàn.",Bác sỹ có thể tư vấn giúp tôi trường hợp tinh hoàn trong ổ bụng và các yếu tố nguy cơ như thế nào ạ?,0,
"Điều trị u sọ hầu là sự phối hợp của nhiều chuyên khoa cả trước và sau mổ: Bác sĩ phẫu thuật thần kinh, bác sĩ nội tiết, bác sĩ ung bướu,..– Phẫu thuật: Nội soi qua mũi xoang hoặc mổ mở tùy vị trí, kích thước u: Để lấy tối đa khối u có thể. Phần lớn các trường hợp nếu khối u lớn, xâm lấn, dính chắc; các tổ chức, cơ quan quan trọng của não như cuống tuyến yên, động mạch cảnh, dây thần kinh thị; Phẫu thuật viên thường không cố gắng lấy hết u; Có mẫu bệnh phẩm u để làm chẩn đoán xác định bản chất u; Giải phóng chèn ép khi khối u chèn ép dây thần kinh thị giác.– Xạ trị : Có thể xạ trị gamma knife bổ trợ sau phẫu thuật nếu phẫu thuật để lại 1 phần u.– Thuốc: Điều trị các rối loạn, suy giảm nội tiết.",Thưa bác sĩ bệnh u sọ hầu được điều trị như thế nào ạ?,0,
"Một số triệu chứng của bệnh u sọ hầu là:– Đau đầu– Mệt mỏi– Thay đổi tính cách, tâm trạng.– Nôn, buồn nôn.– Rối loạn chức năng thị giác: Nhìn mờ, thậm chí mù nếu khối u chèn ép dây thần kinh thị giác, giao thoa thị giác, …– Suy tuyến yên: Rối loạn chức năng tuyến yên.– Rối loạn hormone ADH: đái nhiều, khát nước.– Rối loạn hormone ACTH: mệt mỏi, hạ huyết áp, rối loạn điện giải.– Rối loạn hormone GH ở trẻ em: chậm phát triển, dậy thì muộn; người lớn: mệt mỏi, giảm sức cơ.– Suy giáp do rối loạn TSH: chán ăn, sụt cân, mệt mỏi, …– Rối loạn Prolactin ở phụ nữ: rối loạn kinh nguyệt, hoặc có thể có tăng tiết sữa.– Rối loạn hormone sinh dục, ở nam giới gây yếu sinh lý, giảm chức năng tình dục, gây vô sinh ở nữ.– Nếu khối u chèn ép vào vùng dưới đồi: gây béo phì, tình trạng mệt mỏi, suy nhược, đái tháo nhạt,..",Thưa bác sĩ các triệu chứng của bệnh u sọ hầu là gì?,0,
"U sọ hầu tuy là khối u lành tính nhưng thường được coi là khối u có vị trí ác tính vì nằm ở vị trí có nhiều cấu trúc quan trọng của não (dưới đồi thị, cuống tuyến yên, động mạch cảnh, giao thoa thị giác, …) gây ra các triệu chứng, di chứng nặng nề. Ngoài ra các hội chứng suy thượng thận, rối loạn nội tiết, suy giáp gây ra bởi khối u cũng làm tăng nguy cơ tiến triển nặng sau điều trị.","Thưa bác sĩ, bệnh u sọ hầu có nguy hiểm không ạ?",0,
"PGS.TS Đồng Văn Hệ – Chủ tịch Hội Phẫu thuật Thần kinh ASEAN, Giám đốc Trung tâm Phẫu thuật Thần Kinh – Bệnh viện Hữu nghị Việt Đức cho biết: Đột quỵ nhồi máu não nếu không được phát hiện sớm và điều trị kịp thời sẽ để lại di chứng tàn tật nặng nề, ảnh hưởng đến chất lượng cuộc sống của người bệnh, là gánh nặng kinh tế cho gia đình người bệnh và xã hội.Theo khuyến cáo: Nếu người bệnh có triệu chứng nghi ngờ đột quỵ não, cần đến ngay các cơ sở y tế uy tín để khám, chẩn đoán và điều trị kịp thời tránh các di chứng nặng nề về sau. Để nhận biết dấu hiện đột quỵ, hãy nhớ tới từ F.A.S.T: (Face): Gương mặt mất cân đối, hoặc méo xệ một bên miệng; (Arm): Kiểm tra tình trạng yếu hoặc liệt tay, chân; (Speech): Ngôn ngữ bất thường; (Time): thời gian, nếu xuất hiện 1 trong 3 dấu hiệu kể trên, người bệnh có nguy cơ đột quỵ rất cao, hãy khẩn trương gọi cấp cứu và nhanh nhất đưa bệnh nhân đến cơ sở y tế có khả năng điều trị đột quỵ. Hiện nay Bệnh viện Hữu nghị Việt Đức là một trong những bệnh viện hàng đầu có đủ trang thiết bị và cơ sở để cứu chữa người bệnh đột quỵ. Ngoài ra người bệnh có yếu tố nguy cơ cao (cao huyết áp, bệnh lý tim mạch, đái tháo đường, mỡ máu cao, hút thuốc lá…) cần khám sức khỏe định kỳ và tuân thủ chế độ điều trị của thầy thuốc.",Ngày càng có nhiều người bị đột quỵ não. Bác sỹ có thể tư vấn giúp tôi những dấu hiệu nhận biết đột quỵ được không ạ?,0,
