question1,question2,label
Chẩn đoán bệnh Khoèo chân bẩm sinh,Sống thêm được bao lâu nếu mắc ung thư cổ tử cung giai đoạn sớm?,0
Cần có những lưu ý gì khi sử dụng thuốc điều trị lao phổi ?,Dối tượng nào có nguy cơ cao dẫn đến vôi hóa cột sống ?,0
Điều trị bệnh Loãng xương,Chữa trị bệnh Loãng xương,1
Đường lây nhiễm bệnh Lỵ amip cấp,Nguyên nhân gây tăng bilirubin trong máu,0
Triệu chứng bệnh Viêm tai giữa mãn tính ở trẻ em là gì ?,Trẻ bị Viêm tai giữa thường có những biểu hiện gì ?,1
chẩn đoán bệnh Liệt dương,Phương pháp chẩn đoán bệnh Liệt dương,1
Những bệnh lý nào làm tăng nguy cơ mắc bệnh Xẹp đốt sống ?,Triệu chứng giai đoạn muộn của bệnh ung thư túi mật là gì ?,0
Vì sao mắc bệnh lác mắt,Các loại côn trùng gây ra bệnh viêm da tiếp xúc là gì ?,0
Vận động viên bóng đá chuyên nghiệp hay gặp các bệnh tế bào thần kinh vận động nào?,Các yếu tố có thể làm trầm trọng thêm trào ngược dạ dày thực quản?,0
Đường lây truyền bệnh Lao kê,Đường lây nhiễm bệnh lao kê,1
Xin hỏi triệu chứng của bệnh u sọ hầu là gì ạ?,các biến chứng của bệnh u sọ hầu là gì ?,1
Vẹo vách ngăn mũi là bệnh gì? Có nên phẫu thuật bệnh vẹo vách ngăn mũi không?,Vách ngăn mũi là bộ phận gì ?,1
Những vấn đề sức khỏe nào thường gặp khi trẻ sinh non ?,Cần làm gì để phòng tránh sinh non ?,1
Chậm kinh là dấu hiệu của những bệnh gì ?,Phụ nữ cần bổ sung gì trước khi mang thai?,0
Tổng quan bệnh Lao ruột,Bệnh Lao ruột,1
Thai quá ngày và những điều nên biết,Cần làm gì khi thai quá ngày ?,1
Các biện pháp chẩn đoán bệnh Lichen nitidus,Chẩn đoán bệnh Lichen nitidus,1
Những tác hại khi sử dụng miếng dán trắng răng là gì ?,Những xét nghiệm nào giúp chẩn đoán bệnh Viêm ống dẫn trứng ?,0
Phương pháp cắt tuyến mồ hôi nách là gì ?,Tỷ lệ thành công của phương pháp cắt tuyến mồ hôi nách là bao nhiêu ?,1
Triệu chứng thường gặp của các bệnh đường hô hấp là gì ?,Chế độ ăn uống có ảnh hưởng đến khả năng có thai không ?,0
Triệu chứng ho ở trẻ biểu hiện như thế nào ?,Những phương pháp nào giúp làm giảm cơn ho ở bé ?,1
Cách phòng ngừa bệnh phụ khoa hiệu quả cho chị em,Phụ nữ nên khám bệnh phụ khoa bao lâu 1 lần ?,1
Chẩn đoán bệnh Liệt nửa người,Đối tượng nào dễ mắc nấm ở rốn ?,0
Triệu chứng bệnh Liệt dương,Triệu chứng bệnh Liệt dương như nào,1
Những biểu hiện đầu tiên của bệnh HIV là gì ?,Đối tượng nào dễ mắc bệnh Viêm đại tràng ?,0
Chỉ nên thực hiện bảo quản và đông lạnh trứng khi nào ?,Phương pháp xử lý nhanh tăng thông khí phổi?,0
U nang buồng trứng có thể sử dụng thuốc tránh thai được không?,U nang buồng trứng là bệnh gì ?,1
Người cao tuổi nên chia các bữa ăn như thế nào ?,Bệnh lao màng bụng lây truyền qua đâu,0
Người bệnh viêm gan B nên tập luyện như thế nào ?,Hẹp bao quy đầu có thể dẫn tới ung thư dương vật không ?,0
Phụ nữ sau khi sảy thai có cần bổ sung các nguyên tố vi lượng không ? ,Triệu chứng bệnh Liệt dây thần kinh số 6,0
Các dấu hiệu u não nào dễ nhận biết ạ?,Người bệnh cần làm gì để phát hiện sớm bênh U não ?,1
Những triệu chứng nguy hiểm trong 3 tháng cuối thai kì biểu hiện như thế nào ?,Triệu chứng của bệnh đau dây thần kinh tọa biểu hiện như thế nào ?,0
Hiện tượng thính giác yếu và khiếm thính ở trẻ sơ sinh,Nguyên nhân gây ra các vấn đề thính giác ở trẻ là gì ?,1
Tác hại của việc chọn sai thời điểm cai sữa là gì ?,Sữa mẹ có các tác dụng gì với bé ?,1
Nguyên nhân gây ra viêm âm đạo là gì ?,Tìm hiểu 2 loại thuốc xịt trị mụn lưng hiệu quả nhất hiện nay,0
Vitamin E có các tác dụng gì ?,Vitamin E có tốt cho da không ?,1
Đau dạ dày có tính chất như thế nào ?,Đau dạ dày là biểu hiện của những bệnh lý nào ?,1
Buồng trứng đa nang có nên uống sữa đậu nành?,Hội chứng buồng trứng đa nang là bệnh gì ?,1
Các biện pháp điều trị bệnh Lichen nitidus,Điều trị bệnh Lichen nitidus,1
Phòng ngừa bệnh Tim bẩm sinh Ebstein?,Nguyên nhân gây ra bệnh gan to là gì ?,0
Những món ăn vặt nào giàu dinh dưỡng ?,Triệu chứng bệnh Khí phế thũng như nào,0
Mẹ bầu nên là gì để giảm ngứa bụng ?,Trẻ sinh non có đặc điểm gì ?,0
Đau nhói ở tim là bệnh gì?,Chất xơ tan là chất gì ?,0
Bệnh sùi mào gà và bệnh mun rộp sinh dục có ảnh hưởng đến thai nghen không ?,Phương pháp nấu ăn có lợi cho sức khỏe,0
Nguyên nhân của việc đặt vòng mà vẫn có thai là gì ?,Bệnh Lyme,0
Clonazepam và Alprazolam có tác dụng như thế nào ?,Tác dụng phụ của Clonazepam và Alprazolam là gì ?,1
Những yếu tố nguy cơ làm tăng khả năng bị vô kinh ở phụ nữ là gì ?,Vô kinh thường phổ biến ở độ tuổi nào ?,1
Triệu chứng bệnh Hạ đường huyết,Dấu hiệu bệnh Hạ đường huyết như thế nào,1
Trẻ bị ngã: Phải làm gì khi trẻ sơ sinh hoặc mới biết đi bị va chạm vùng đầu ?,Cần làm gì để hạn chế va chạm vùng đầu cho trẻ ?,1
Làm thế nào để đạt đủ yêu cầu về chất xơ ?,Viêm tĩnh mạch sâu là gì ?,0
Các nguyên nhân không do tim mạch gây thiểu năng tuần hoàn não là gì?,"Trước khi tiến hành nhổ răng, bác sĩ sẽ làm gì ?",0
Bệnh máu khó đông là gì ?,Cần làm gì để phát hiện sớm bệnh máu khó đông trong thai kỳ ?,1
Đối tượng nào hay mắc bệnh trầm cảm ?,Làm sao để điều trị bệnh trầm cảm ?,1
Một số bệnh nấm da ở mông thường gặp?,Có những loại thuốc nào điều trị hắc lào ?,1
Vitamin E có tác dụng gì cho phụ nữ sau khi sinh?,Vitamin E có tác dụng gì cho phụ nữ sau khi sinh?,1
Lupus ban đỏ có phải là bệnh tự miễn không ?,Bệnh Lupus ban đỏ có di truyền được không ?,1
Các biện pháp điều trị bệnh Rối loạn tiền đình,Liệu pháp phục hồi chức năng tiền đình là gì ?,1
Chẩn đoán bệnh Hội chứng Ganser như nào,Quá trình làm xét nghiệm sởi Rubella là gì ?,0
Cách phòng ngừa bệnh sùi mào gà,Virus HPV gồm những tuýp nào ?,1
Bị viêm cổ tử cung sau khi phá thai phải làm sao?,Triệu chứng của viêm cổ tử cung biểu hiện như thế nào ?,1
Sữa đậu nành có chứa thành phần gì ?,Bệnh lỗ tiểu đóng thấp là gì,0
Biểu hiện bệnh Loãng xương như nào,Triệu chứng bệnh Loãng xương như nào,1
Bài tập nào tốt nhất cho nhóm cơ vùng lưng ?,Các biện pháp điều trị bệnh Xơ vữa động mạch não,0
Phòng bệnh Không dung nạp Lactose,Phương pháp phòng ngừa bệnh Không dung nạp Lactose,1
Triệu chứng của bệnh viêm da cơ địa biểu hiện như thế nào ?,Khi nào nên đưa trẻ đi kiểm tra sau khi tiêm phòng lao ?,0
Nguyên nhân và cách điều trị cảm lạnh ở trẻ nhỏ,Các cách điều trị cảm lạnh ở trẻ em là gì ?,1
Các mốc thay đổi vận động của trẻ là gì ?,Nếu thấy các cơ bắp của trẻ yếu thì nên làm gì ?,1
Nguyên nhân bệnh Vỡ tử cung,Nguyên nhân gây vỡ tử cung có nguồn gốc từ thai nhi là gì ?,1
Tổng quan bệnh Lưỡi bản đồ,Triệu chứng bệnh Khoèo chân bẩm sinh,0
Bệnh ho gà lây truyền qua đường nào ?,Điều trị bệnh ho gà như thế nào ?,1
Thực phẩm tốt và không tốt cho người bị vôi hóa cột sống,Người bị vôi hóa cột sống nên sử dụng những loại thực phẩm gì ?,1
Các loại thốc nào dễ gây ra bệnh Hồng ban nút ?,Những xét nghiệm nào giúp chẩn đoán bệnh Viêm thanh quản mạn tính ?,0
Nguyên nhân gây ra bệnh Hắc lào ở trẻ sơ sinh là gì ?,Điều trị bệnh Hắc lào ở trẻ em như thế nào ?,1
5 bệnh thường gặp khi tắm ở trẻ từ những sai lầm của mẹ,Những bệnh thường gặp khi tắm ở trẻ là gì ?,1
Ngủ ở nhiệt độ mát có tác dụng giảm cân không ?,Phương pháp phòng ngừa bệnh Lồng ruột,0
Những triệu chứng điển hình của bệnh Viêm chóp xoay là gì ?,Vì sao mắc bệnh Huyết khối tĩnh mạch sâu,0
Mẹ cần lưu ý gì khi quấn tã vùng rốn cho trẻ ?,Yếu tố nguy cơ của bệnh tắc tuyến lệ?,0
Vì sao mắc bệnh liệt mặt ,Tiền sử gia đình táo bón có làm tăng mắc bệnh táo bón trẻ em không?,0
Chăm sóc trẻ sơ sinh bị sởi như thế nào?,Chăm sóc trẻ sơ sinh mắc bệnh sởi như thế nào ?,1
Chỉ số nồng độ AFP có vai trò gì ?,Viêm thanh quản có nguy hiểm không?,0
Phương pháp chữa trị bệnh Loãng xương,Bệnh suy thận có những biểu hiện gì ?,0
Bệnh trĩ nội là gì?,Phân loại bệnh trĩ như thế nào?,1
Thay khớp háng nhân tạo được chỉ định trong những bệnh nào ?,Thay khớp háng nhân tạo có xảy ra nhiều  biến chứng không ?,1
Carbohydrate phức tạp được tiêu hóa như thế nào ?,Các phương pháp thông tuyến lệ không cần phẫu thuật?,0
Các biện pháp chẩn đoán bệnh Tê bì tay chân,Làm thế nào để chẩn đoán được bệnh tê bì tay chân ?,1
Độ tuổi nào có nguy cơ mắc bệnh Viêm màng não mô cầu ?,Nhóm tuổi nào có nguy cơ cao nhất mắc bệnh Viêm não mô cầu ?,1
Trẻ bị viêm phế quản có được tắm không?,Phụ nữ mang thai và cho con bú có sử dụng được Smecta không ?,0
Nguyên nhân dẫn đến vô kinh thứ phát là gì ?,Các chất dinh dưỡng nào mà mẹ bầu cần bổ sung sau khi sinh ?,0
6 món ăn bạn nên dần “cạch mặt” nếu không muốn bị ngộ độc,Thịt cần được nấu chín ở nhiệt độ bao nhiêu ?,1
Các triệu chứng xác định thuyên tắc ối?,Quá trình biểu hiện thuyên tắc ối theo từng giai đoạn?,1
Sai lầm nào khi ăn uống khiến trẻ dễ mắc tiêu chảy cấp Rota?,Sử dụng chất kích thích có gây bệnh Viêm loét dạ dày - tá tràng không ?,0
Thời điểm nào bao quy đầu sẽ tuột ra khỏi quy đầu ?,Cần làm gì để chẩn đoán sớm hẹp bao quy đầu ?,1
Độ tuổi nào ở trẻ em dễ bị viêm kết mạc ?,Dấu hiệu phát hiện viêm kết mạc ở trẻ là gì ?,1
Mẹo giúp ăn Tết ngon- không lo bị ngán,Điều trị viêm xoang như thế nào cho hiệu quả ?,0
Yếu tố nào cần có ở xe đẩy dành cho trẻ ?,Thói quen hàng ngày nên có để tránh bệnh Tắc vòi trứng?,0
Triệu chứng của bệnh cảm lạnh biểu hiện như thế nào ?,Các biện pháp điều trị bệnh Loạn thị,0
Mắc bệnh ung thư bao tử có chữa được không?,Nguyên nhân bệnh Thông liên nhĩ?,0
Nước kinh giới có tác dụng gì ?,Tắm lá ngải cứu cho bé có tác dụng gì ?,1
Tổng quan bệnh Suy tĩnh mạch chân,Suy tĩnh mạch chân là bệnh lý gì ?,1
Nguyên nhân khiến trẻ ra mồ hôi vùng đầu và lưng là gì ?,Viêm đài bể thận là bệnh lý gì ?,0
Mệt mỏi do thiếu sắt có đặc điểm gì?,Những yếu tố nguy cơ gây bệnh viêm ống dẫn trứng là gì ?,0
Trẻ bị tay chân miệng thì nên chăm sóc như thế nào ?,Triệu chứng thường gặp của bệnh tay chân miệng là gì ?,1
Các loại sữa bột thích hợp cho trẻ nhỏ từ 6 đến 12 tháng tuổi,Lợi ích của sữa bột đối với cơ thể trẻ là gì ?,1
Tỉ lệ nhiễm HIV của truyền máu là bao nhiêu ?,Nước tiểu và nước bọt người nhiễm HIV có Virus HIV không ?,1
Miếng dán trắng răng có những tác dụng gì ?,Các biện pháp chẩn đoán bệnh Viêm gân nhị đầu vai,0
Phương pháp điều trị Hội chứng quai mù,Các phương pháp điều trị Hội chứng quai mù,1
Nguyên nhân gây ra bệnh thần kinh ngoại biên là gì ?,Các yếu tố làm tăng nguy cơ mắc bệnh thần kinh ngoại biên là gì ?,1
Điều trị tiền đái tháo đường như thế nào ?,Cần chú ý gì khi tắm cho trẻ sơ sinh ?,0
Các biện pháp điều trị bệnh Tiêu chảy?,Triêu chứng của bệnh viêm gan siêu vi B mạn tính là gì ?,0
Những yếu tố làm tăng nguy cơ mắc bệnh Viêm bàng quang ?,Đột biến gen gì có thể gây nên bệnh tim bẩm sinh Ebstein?,0
Mục tiêu của việc điểu trị thiểu sản men răng?,Nguyên nhân bệnh Dị ứng thời tiết là gì ?,0
Dậy thì là giai đoạn gì ?,"Nguyên nhân gây ra rông huyết , rong kinh là gì ?",1
Hăm tã là tình trạng gì ?,Làm thế nào để phát hiện và khắc phục tình trạng hăm tã ?,1
Triệu chứng bệnh Liệt mặt,Tập thể dục hằng ngày có làm giảm nguy cơ mắc bệnh Ung thư trực tràng không ?,0
VA có vai trò gì ?,Các thuốc điều trị bổ sung cho bệnh teo dây thần kinh thị giác là gì?,0
Bệnh vảy nến có tự khỏi không?,Nguyên nhân gây ra bệnh vảy nến là gì ?,1
Triệu chứng của bệnh chân tay miệng biểu hiện như thế nào ?,Nguyên nhân gây ra bệnh chân tay miệng là gì ?,1
"Ông nội cháu năm nay 67 tuổi, các bác sĩ chẩn đoán u màng não. Cháu có thể tìm hiểu thêm về bệnh của người nhà bằng cách nào? Có thể tìm thông tin ở đâu ạ?",Vì sao mắc bệnh liệt mặt ,0
Triêu chứng của bệnh viêm gan siêu vi B mạn tính là gì ?,Người bệnh viêm gan B nên tập luyện như thế nào ?,1
Người bệnh Viêm thanh quản cần đến cơ sở y tế khi có những dấu hiệu gì ?,Triệu chứng thực thể trong bệnh Viêm thanh quản cấp tính biểu hiện như thế nào ?,1
Các yếu tố làm tăng nguy cơ mắc bệnh thần kinh ngoại biên là gì ?,Bệnh thần kinh ngoại biên nên có chế độ ăn như nào ?,1
Các yếu tố làm tăng nguy cơ phình mạch máu não là gì ?,Tại sao bệnh Viêm xoang lại khó chữa ?,0
Điều trị bệnh Lyme,Phương pháp chữa trị bệnh Lyme,1
Phương pháp phòng ngừa bệnh Khí phế thũng,Những người mắc bệnh gì không nên ăn bánh chưng ?,0
Chữa trị bệnh Lao cột sống,Phương pháp điều trị bệnh Lao cột sống,1
Nam giới bị dài bao quy đầu có ảnh hưởng gì không?,Làm thế nào để điều trị dài bao quy đầu ?,1
Tính chất phân của trẻ từ khi sinh ra tiến triển như thế nào ?,Chọn tã vải khác nhau như thế nào ở trẻ trai và trẻ gái ?,1
"Bệnh Viêm cơ, áp xe cơ có nguy hiểm không ?",Độ tuổi nên tầm soát ung thư toàn thân,0
Biện pháp chẩn đoán bệnh Lao ruột,Phương pháp chẩn đoán bệnh Lao ruột,1
Phòng ngừa bệnh Lồng ruột,Biện pháp phòng ngừa bệnh Lồng ruột,1
Người bệnh Viêm màng não mô cầu thường được lấy những loại bệnh phẩm gì ?,Bệnh Leukemia cấp có triệu chứng như nào,0
Khoảng cách giữa các lần khám lại thường là bao lâu ?,Khối U não lành tính thì nên kiểm tra như thế nào ?,1
Nguyên nhân gây ra bệnh Basedow là gì ?,Xét nghiệm thử thai là bước thứ mấy trong quy trình thụ tinh nhân tạo ?,0
Lưu ngay chế độ dinh dưỡng ,Thời gian và chất lượng giấc ngủ có ảnh hưởng đến lượng hormon của trẻ không ?,1
Sử dụng phương pháp gây mê màng cứng có nguy hiểm không?,Ảnh hưởng của phương pháp gây mê ngoài màng cứng đối với bà bầu là gì ?,1
Tổng quan về bệnh vôi hóa sụn khớp,Vôi hóa sụn khớp là bệnh gì ?,1
Sắc Ngọc Khang bao nhiêu tuổi thì uống được?,Sắc Ngọc Khang có tác dụng gì ?,1
Các trường hợp có nguy cơ mắc bệnh lao vú,Dậy thì sớm được chia làm mấy loại ?,0
Đau cơ học là đau như thế nào ?,Hình ảnh thoái hóa khớp trên phim chụp chẩn đoán hình ảnh là gì ?,1
Các biện pháp chẩn đoán bệnh Hôi nách,Nguyên nhân bệnh Viêm gân nhị đầu vai,0
Cần làm gì để phòng tránh sinh non ?,Uống thuốc tránh thai có hiệu quả 100% không ?,0
Đối tượng nào nên sử dụng cây giảo cổ lam ?,Triệu chứng của bệnh viêm gan C biểu hiện như thế nào ?,0
Tổng quan bệnh Lạc nội mạc tử cung,bệnh Lạc nội mạc tử cung là gì,1
Tổn thương dây chằng và sụn khớp gối có ảnh hưởng nhiều đến vận động bình thường không ?,"Viêm bao hoạt dịch có phải biểu hiện của tổn thương dây chằng, sụn khớp gối hay không ?",1
Tại sao trẻ nhỏ hay bị cảm lạnh ?,Những biện pháp tự nhiên giiups làm giảm triệu chứng cảm lạnh là gì ?,1
Cha mẹ có nên đọc sách cho trẻ trước khi đi ngủ không ?,Mất cảm giác sâu ở tay có phải triêu chứng của bệnh Thoái hóa cột sống cổ không ?,0
Điều trị bệnh Viêm bàng quang cấp cần tuân thủ những nguyên tắc nào ?,Những loại thuốc nào giúp điều trị bệnh Viêm dây thần kinh thị giác ?,0
Yếu tố nào ảnh hưởng đến cân nặng của thai nhi ?,Thai nhi phát triển kém hơn tuần thai sẽ biểu hiện như thế nào ?,1
Đâu là yếu tố nguy cơ gây ra bệnh tiểu đường thai kỳ ?,Hen suyễn là bệnh gì ?,0
Đau dạ dày có tính chất như thế nào ?,Triệu chứng bệnh Tim bẩm sinh?,0
Đường lây truyền bệnh Bệnh lao phổi,bệnh Liệt nửa người có triệu chứng như nào,0
Những điều cần biết về chu kỳ thức ngủ của thai nhi,Tại sao sau khi chào đời bé hay bị giật mình ?,1
Triệu chứng của bệnh Ung thư vòm họng biểu hiện như thế nào ?,Dự trữ sắt ở trẻ nhỏ như thế nào?,0
Xạ trị gây tác dụng phụ gì cho người bệnh?,Phòng tránh bệnh lao kê,0
Cơ chế tác dụng của thuốc tiêu chảy Smecta là gì ?,"Khi bị tiêu chảy cấp, bệnh nhân cần làm gì ?",1
Vì sao mắc bệnh Lyme,Bệnh Viêm màng não do tác nhân nào gây ra ?,0
Những loại kem nào giúp chăm sóc da cho mẹ bầu ?,Tại sao trời mưa mẹ bầu dễ bị nứt môi ?,1
Thống kinh gồm những triệu chứng gì ?,"Nguyên nhân gây ra rông huyết , rong kinh là gì ?",1
Nguyên nhân gây ra mùi hôi nước tiểu là gì ?,Hội chứng ruột kích thích có dễ điều trị không?,0
Nên di chuyển bằng phương tiện gì khi đi du lịch mùa đông ?,Chẩn đoán bệnh lỵ trực khuẩn,0
Ăn thịt nhiều ảnh hưởng gì đến hệ tim mạch ?,Bệnh tiểu đường có liên quan gì đến chế độ ăn ?,1
Triệu chứng đau khớp gối ở trẻ em,Phòng tránh đau khớp gối ở trẻ em như thế nào ?,1
Ai hay mắc ngứa vùng bẹn và đùi trên ?,Phương pháp phòng bệnh ngứa vùng bẹn và đùi trên là gì ?,1
Mụn bọc có tác hại gì đối với cơ thể ?,Phương pháp chữa trị bệnh loét hành tá tràng,0
Điện tâm đồ là gì ?,Có những lưu ý gì khi đọc điện tâm đồ ?,1
Tại sao người ăn chay lại sống lâu hơn,Chế độ ăn chay vẫn thiếu hụt những chất dinh dưỡng gì ?,1
Ung thư vòm họng giai đoạn cuối biểu hiện như thế nào?,Ung thư vòm họng giai đoạn cuối biểu hiện như thế nào?,1
Viêm gan B mạn có thể dẫn đến các biến chứng gì ?,Đối tượng nghi ngờ mắc Ung thư biểu mô tế bào gan sẽ được chỉ định làm xét nghiệm gì ?,1
Đường lây truyền bệnh Dịch hạch,Làm sao để đề phòng tai biến méo miệng vào mùa đông?,0
Phòng ngừa bệnh Suy thận,Những loại thuốc nào dẫn đến sự phát triển Xuất huyết giảm tiểu cầu huyết khối ?,0
Bí quyết chọn đồ ăn vặt tốt cho sức khỏe,Những xét nghiệm nào giúp chẩn đoán bệnh Viêm mủ màng phổi ?,0
Ảnh hưởng của việc mang thai quá sớm sau khi sinh con là gì ?,Thời gian có thai trở lại sau khi sinh là bao lâu ?,1
Người hiến máu cần đảm bảo những điều kiện gì ?,Người mắc bệnh lây truyền qua đường máu có được phép hiến máu không ?,1
Hạch cuống họng là gì ?,Có các biện pháp nào để phòng bệnh Hạch cuống họng ?,1
Đau mắt đỏ là bệnh lý gì ?,Xét nghiệm xoay vòng có tác dụng gì ?,0
Quy trình thực hiện sinh thiết gan như thế nào ?,Bệnh thoái hóa võng mạc mắt có lây không?,0
Các biện pháp điều trị bệnh Khoèo chân bẩm sinh,Biện pháp điều trị bệnh Khoèo chân bẩm sinh,1
Có mối liên quan giữa trí nhớ và các giấc ngủ không ?,Điều trị bệnh Khoèo chân bẩm sinh,0
Những nhóm thuốc nào giúp điều trị bệnh lý Viêm thanh quản cấp tính ?,Các thể tiểu đường chính?,0
Bệnh vảy nến có tự khỏi không?,Các biện pháp điều trị bệnh Tràn dịch màng phổi,0
Những biến chứng có thể gặp trong bệnh Lao phổi là gì ?,Cần có những lưu ý gì khi sử dụng thuốc điều trị lao phổi ?,1
Những loại thực phẩm nào giúp phòng ngừa bệnh Viêm thanh quản ?,Trị gàu bằng bia có tốt không?,0
Sau điều trị nên theo dõi như thế nào ?,Các biện pháp điều trị bệnh Liệt dây thần kinh số 6,0
"Lao phổi là bệnh rất thường gặp, có thể ảnh hưởng mọi người trong mọi lứa tuổi.

Những yếu tố làm tăng nguy cơ mắc lao phổi bao gồm:


	Suy giảm miễn dịch: nhiễm HIV, ung thư...
	Tiếp xúc trực tiếp với nguồn lây, đặc biệt trẻ em
	Bị các bệnh mạn tính: loét dạ dày tá tràng, đái tháo đường, suy thận mãn…
	Nghiện ma túy, rượu, thuốc lá
	Sử dụng các thuốc ức chế miễn dịch kéo dài như corticosteroid, hóa chất điều trị ung thư…",Đối tượng nào dễ mắc bệnh lao phổi ?,1
Khuyến cáo bổ sung sắt cho phụ nữ có thai và sau sinh như thế nào?,Phẫu thuật trong Viêm thanh quản mạn tính được chỉ định như thế nào ?,0
Nguyên nhân gây ra hội chứng ruột kích thích là gì ?,Hội chứng ruột kích thích nên điều trị như thế nào ?,1
Triệu chứng toàn thân trong bệnh Viêm thanh quản cấp tính biểu hiện như thế nào ?,Ăn cá hồi có tác dụng gì cho trẻ ?,0
Phòng ngừa bệnh Lichen nitidus,Biện pháp phòng ngừa bệnh Lichen nitidus,1
Tại sao nên xét nghiệm máu ở trẻ nhỏ ?,Sàng lọc sơ sinh là gì ?,1
Sùi mào gà xuất hiện ở đâu ?,Làm thế nào để phòng bệnh sùi mào gà ?,1
Phơi nhiễm với virus nào có thể tăng nguy cơ tiểu đường typ 1?,Các biện pháp nào giúp làm sạch mủ trong khoang màng phổi ?,0
Biện pháp chữa trị bệnh Khoèo chân bẩm sinh,Phương pháp điều trị bệnh Khoèo chân bẩm sinh,1
Chỉ số mắt cá chân canh tay là gì ?,Các phản ứng phụ sau khi điều trị ung thư duong vật là gì ?,0
Có những phương phấp nào điều trị khối phình động mạch máu não ?,Thai nhi 26 tuần tuổi biết làm gì những gì? mẹ bầu có tò mò muốn biết không?,0
Uống một chai soda mỗi ngày có thể gây tiền đái tháo đường,Thói quen uống nhiều soda tác động như thế nào đến sức khỏe ?,1
Những thói quen sống nào làm tăng nguy cơ mắc bệnh Xơ vữa động mạch ?,Nụ cười có thực sự là một liều thuốc bổ?,0
Men tiêu hóa bao gồm những thành phần gì ?,Men tiêu hóa có tác dụng gì ?,1
Vì sao mắc bệnh Liệt dây thần kinh số 6,Dối tượng nào có nguy cơ cao dẫn đến vôi hóa cột sống ?,0
Triệu chứng sớm cảnh báo bệnh hẹp van hai lá,Nguyên nhân bệnh Hội chứng hông vũ công,0
Nước tiều được hình thành như thế nào ?,Số lần đi tiểu bình thường mỗi ngày là bao nhiêu ?,1
Ăn giá đỗ có tốt cho phụ nữ không?,Các biện pháp điều trị bệnh Trào ngược dạ dày thực quản?,0
Tổng quan bệnh Liệt nửa người,bệnh Liệt nửa người,1
Tổng quan bệnh Liệt dây thần kinh số 6,bệnh Liệt dây thần kinh số 6 là gì,1
Nam giới hay nữ giới dễ mắc bệnh thoái hóa võng mạc hơn?,Tiêu chảy là gì?,0
Ví Dụ về hội chứng rối loạn thiếu hụt thiên nhiên nói về điều gì ?,Cần làm gì để phòng tránh hội chứng thiếu hụt thiên nhiên ?,1
Ho gà là bệnh gì ?,Vì sao mắc bệnh Loãng xương,0
Bổ sung sắt cho phụ nữ với liều lượng như thế nào?,Biểu hiện bệnh lao kê,0
Những dấu hiệu nào báo hiệu Thai suy ?,Viêm buồng trứng là bệnh lý gì ?,0
"Các dị tật, bệnh lý nào của cơ quan sinh dục cần phẫu thuật ?",Trẻ có dễ mắc bệnh về da trong thời tiết nồm không ?,0
Nguyên nhân gây ra viêm mũi họng cấp là gì ?,Phòng và điều trị bệnh viêm mũi họng cấp như thế nào ?,1
